Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"3,77284553370942E-17","-3,12181240650529E-17","0,157585505365563",0,0,0,"48,6218530721678","1,44526949743902","-5,93816418139568E-17","-3,7165645744407E-17","1,44526949743902","1,07748310044426E-16","1,46757705283248",0,0,0,0,0,0,package://bean1/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://bean1/meshes/base_link.STL,,base-1,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_one,"0,141039454319424","0,346003456542661","0,166680699982783",0,0,0,"215,452289986068","23,5292520724001","-6,81368042079949","-1,32373428157023","19,7682949554739","-2,8552075089347","34,0705271715844",0,0,0,0,0,0,package://bean1/meshes/link_one.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://bean1/meshes/link_one.STL,,part1_vs_24_new-1,Joint_1,Axis1,revolve_one,revolute,0,0,"0,475",0,0,"-1,5708",base_link,0,0,1,1300,"0,3","-3,14","3,14",,,"0,2","0,2",,,,
link_two,"-2,42078662853917","-0,00168736393692048","0,186867473725434",0,0,0,"595,256424350116","12,6138249120467","-2,78751104162931","18,9237816197576","1792,80915841713","0,013205498183059","1789,95584455307",0,0,0,0,0,0,package://bean1/meshes/link_two.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://bean1/meshes/link_two.STL,,part2_v3_p3-1,Joint_2,Axis_revolve_two,revolve_two,continuous,"0,67","0,81","0,21","1,5708",0,"-3,1416",link_one,0,0,1,1300,"0,2","-3,14","3,14",,,"0,2","0,2",,,,
link_three,"2,28912121824386","0,00153437140469215","-0,00417986249872904",0,0,0,"431,618211664157","7,06718335926456","1,34082058612514","3,80809412418537","742,793816675442","-0,00271466113199331","742,8111103932",0,0,0,0,0,0,package://bean1/meshes/link_three.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://bean1/meshes/link_three.STL,,part3-2,Joint_3,Axis3,revolve_three,revolute,"-5,46",0,"0,2",0,0,"3,1416",link_two,0,0,-1,1000,"0,2","-2,09","2,09",,,"0,2","0,2",,,,
link_four,"2,16226650083511","8,62355826525274E-07","-0,100517303455037",0,0,0,"414,150021815561","33,844195019259","-0,000105604859717339","112,75734217377","1046,05494210546","1,65114978668971E-05","1017,62193760193",0,0,0,0,0,0,package://bean1/meshes/link_four.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://bean1/meshes/link_four.STL,,part4-1,Joint_4,Axis4,revolve_four,revolute,"4,4",0,"0,4","3,1416",0,"3,1416",link_three,0,0,-1,1000,"0,2","-3,14","3,14",,,"0,2","0,2",,,,
link_five,"-2,09979993393006E-07","0,126660137233229","0,0532015159443482",0,0,0,"66,2035812018457","3,59359656759112","4,27100151804886E-06","-2,57626450402026E-06","1,52184758527056","0,446111023964057","2,88803960515915",0,0,0,0,0,0,package://bean1/meshes/link_five.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://bean1/meshes/link_five.STL,,part5-1,Joint_5,Axis5,revolve_five,revolute,"4,835",0,"-0,65","1,5708",0,"-1,5708",link_four,0,0,1,500,"0,5","-6,28","6,28",,,"0,1","0,1",,,,
link_six,"-3,15101674752682E-08","1,09812221538164E-08","-0,129133866814103",0,0,0,"12,7438637584956","0,12189290103971","1,34739786618946E-08","-5,6566389553238E-08","0,121893037897778","1,97132583797493E-08","0,0954663217516147",0,0,0,0,0,0,package://bean1/meshes/link_six.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://bean1/meshes/link_six.STL,,part6-1,Joint_6,Axis6,revolve_six,revolute,0,"0,550000000000002",0,"-1,5707963267949",0,"3,14159265358979",link_five,0,0,-1,500,"0,8","-6,28","6,28",,,"0,1","0,1",,,,
